method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
dpmlm_shap,"{'epsilon': 50, 'rho': 0.9}",,0.7304568411026374,0.6870723306188404,0.5426869099938266,0.6299212598425197,0.5984251968503937,0.4365079365079365,0.9518927444794952,1.8778113771766374,0.9511041009463722,1.9282342698561725,0.07103482184914009,0.10314699711295708,0.07008497157523146,13.368752169167465
dpmlm_shap,"{'epsilon': 50, 'rho': 0.8}",,0.6422086133926768,0.5978429150913818,0.4512632909434451,0.5354330708661418,0.49606299212598426,0.35714285714285715,0.9550473186119873,1.7833295232943545,0.9250788643533123,1.9135999087592421,0.08325632945972286,0.12406522150765457,0.1544392917581038,21.323667831174422
dpmlm_shap,"{'epsilon': 50, 'rho': 0.7}",,0.5578920123980963,0.5534022620703989,0.3921045408731771,0.4330708661417323,0.4566929133858268,0.30158730158730157,0.9148264984227129,1.8195079504339213,0.9029968454258676,1.9257456934713033,0.09555395788950875,0.14509702969800786,0.2417289670474169,29.555398032841662
dpmlm_shap,"{'epsilon': 50, 'rho': 0.6}",,0.49208708867543777,0.4918339056359439,0.32665673538218454,0.3779527559055118,0.3858267716535433,0.23809523809523808,0.887223974763407,1.9372948608708884,0.8793375394321766,1.9201481704850376,0.10829057570323583,0.1647912689281939,0.32944079530642134,37.826938777265696
dpmlm_shap,"{'epsilon': 50, 'rho': 0.5}",,0.4446276870819825,0.4368398108633085,0.27163845112303464,0.3228346456692913,0.3228346456692913,0.18253968253968253,0.8777602523659306,1.7818211902970733,0.8430599369085173,1.9355164599489587,0.1211896703728366,0.18353156308270402,0.41615759471818303,46.00464472408932
dpmlm_shap,"{'epsilon': 50, 'rho': 0.4}",,0.3674567657906059,0.3942234043009809,0.22731074264706647,0.23622047244094488,0.29133858267716534,0.14285714285714285,0.861198738170347,1.9349307652533658,0.807570977917981,1.9137238983168425,0.13454739359275023,0.20114757969082342,0.5014779049133059,54.050656717157146
dpmlm_shap,"{'epsilon': 50, 'rho': 0.3}",,0.31347747520727337,0.37075401628706156,0.23703959735505634,0.1732283464566929,0.2755905511811024,0.16666666666666666,0.8343848580441641,1.9020510114339924,0.7618296529968455,1.8992305706387118,0.14796419352387027,0.2192824713016158,0.5851967404256816,61.94564389005603
dpmlm_shap,"{'epsilon': 50, 'rho': 0.2}",,0.2683837319882146,0.3500561466506983,0.2133682742949752,0.13385826771653545,0.25984251968503935,0.15079365079365079,0.7665615141955836,1.9051375050657278,0.7208201892744479,1.925170613876776,0.16251797743776245,0.2382942175945085,0.6671893150958507,69.67783845932051
dpmlm_shap,"{'epsilon': 50, 'rho': 0.1}",,0.19668394449781207,0.26374344307244124,0.14015471900136114,0.07874015748031496,0.1732283464566929,0.0873015873015873,0.7121451104100947,1.914639871640687,0.6719242902208202,1.926351320161984,0.17825412157958237,0.25924713904925323,0.7480128361140215,77.29978706624605
dpmlm_shap,"{'epsilon': 100, 'rho': 0.9}",,0.7229082138247218,0.7098287448446619,0.5473690950289991,0.6220472440944882,0.6062992125984252,0.4365079365079365,0.9692429022082019,1.9362930067516233,0.9503154574132492,1.9202704293913122,0.07009943285575049,0.10153454650275714,0.06812178109848717,10.90483002976871
dpmlm_shap,"{'epsilon': 100, 'rho': 0.8}",,0.6366705446523718,0.6285090864463139,0.47744159223232824,0.5275590551181102,0.5354330708661418,0.38095238095238093,0.944794952681388,1.9665728253093693,0.9353312302839116,1.9237691988954748,0.08024331494836777,0.11782864549370595,0.14639345686536281,15.667813475883715
dpmlm_shap,"{'epsilon': 100, 'rho': 0.7}",,0.5875314618407015,0.5811008886312607,0.42535322294031325,0.4881889763779528,0.47244094488188976,0.3253968253968254,0.8966876971608833,1.7835131182557136,0.9148264984227129,1.91238887985001,0.09028603136539459,0.13266234165674504,0.22540997968002496,20.47612231108405
dpmlm_shap,"{'epsilon': 100, 'rho': 0.6}",,0.5519865932591113,0.5418481823860944,0.3878424139120196,0.44881889763779526,0.4330708661417323,0.30158730158730157,0.9124605678233438,1.8167866878965546,0.8974763406940063,1.9202433581539853,0.10074230036712971,0.14691522759782027,0.3036922696067359,25.239751649433945
dpmlm_shap,"{'epsilon': 100, 'rho': 0.5}",,0.5096220835304217,0.519385688328659,0.35861407191211686,0.4015748031496063,0.4094488188976378,0.2619047619047619,0.9053627760252366,1.777105997002783,0.8793375394321766,1.902109024465811,0.11143485271028164,0.15957726862528346,0.38040764202219535,29.908031014828783
dpmlm_shap,"{'epsilon': 100, 'rho': 0.4}",,0.44023014274263345,0.44728646028052244,0.2856255242335061,0.3228346456692913,0.3228346456692913,0.20634920634920634,0.8714511041009464,1.79062108626767,0.8541009463722398,1.9021204621344225,0.12275205218829567,0.1719399974079162,0.45651102889132156,34.53906987147141
dpmlm_shap,"{'epsilon': 100, 'rho': 0.3}",,0.4173534374692661,0.41723836820277893,0.25679552972254227,0.29133858267716534,0.2992125984251969,0.1746031746031746,0.8698738170347003,1.8526463671449729,0.8194006309148265,1.9276817217639688,0.13454141150513657,0.18533707283178716,0.5317966556266263,39.120346436172234
