method,params,split,P,TRIR,U,PU,D,D_text,T,GAIN,relative_gain
dpmlm_shap,"{'epsilon': 10, 'lambda': 0.8}",,0.4089930393476737,0.3129608798900137,0.5654574132492114,0.40930599369085174,0.13720012216443894,0.13720012216443894,13.066640378548897,0.056149491814805406,0.10797139167062048
dpmlm_shap,"{'epsilon': 10, 'rho': 0.9}",,0.6409715089289509,0.5417864433612465,0.9708201892744479,0.9526813880126183,0.08851944337883957,0.08851944337883957,9.95779401743903,0.15049667065141867,0.25486399280242655
dpmlm_shap,"{'epsilon': 10, 'rho': 0.8}",,0.5455716586850247,0.444381952255968,0.9471608832807571,0.9305993690851735,0.10969084853817612,0.10969084853817612,13.951456103727251,0.26989916498909466,0.3392115195973311
dpmlm_shap,"{'epsilon': 10, 'rho': 0.7}",,0.4044244945689524,0.2971503562054743,0.8824921135646687,0.8990536277602523,0.13416127900501906,0.13416127900501906,18.232869135123224,0.4111958215194753,0.4339872359858582
dpmlm_shap,"{'epsilon': 10, 'rho': 0.6}",,0.3105877678418864,0.20512019330916967,0.8761829652996845,0.8596214511041009,0.16250473648685762,0.16250473648685762,22.690485382333883,0.5222072011570748,0.5341182946425793
dpmlm_shap,"{'epsilon': 10, 'rho': 0.5}",,0.24910484782646228,0.15523059617547807,0.861198738170347,0.7981072555205048,0.19295619909390102,0.19295619909390102,27.263967286980563,0.5320448977760561,0.5887450419981664
dpmlm_shap,"{'epsilon': 10, 'rho': 0.4}",,0.15832574174284028,0.07630296212973378,0.7192429022082019,0.7160883280757098,0.22993550092357942,0.22993550092357942,31.94230608016519,0.5606596345764941,0.5481347904682775
dpmlm_shap,"{'epsilon': 10, 'rho': 0.3}",,0.11201685738127386,0.047369078865141856,0.5757097791798107,0.6301261829652997,0.2718392405952753,0.2718392405952753,36.69661731400009,0.5087591533439509,0.45544943109448704
dpmlm_shap,"{'epsilon': 10, 'rho': 0.2}",,0.06854124301558678,0.02105986751656043,0.3714511041009464,0.5118296529968455,0.32223589780038275,0.32223589780038275,41.518441365534215,0.4395605096791119,0.29809546265141507
dpmlm_shap,"{'epsilon': 10, 'rho': 0.1}",,0.046272220904393556,0.010519518393534141,0.37933753943217663,0.36829652996845424,0.38300585293736933,0.38300585293736933,46.408225552050475,0.2811811078458537,0.3313542712085367
dpmlm_shap,{'epsilon': 25},,0.06578783366091388,0.021039036787068283,0.41719242902208203,0.3785488958990536,0.3057446939641557,0.3057446939641557,54.87940851735016,0.422662090267178,0.3475098131458329
