method,params,split,P_exact,P_more,P_full,TRIR_exact,TRIR_more,TRIR_full,U_acc,U_mae,PU_acc,PU_mae,D_bertscore,D_cosine,D_pp,T_anon_avg_s
dpmlm_shap,"{'epsilon': 100, 'k': 5}",,0.5627415314368521,0.6128679969255106,0.21099337184087857,0.4409448818897638,0.4330708661417323,0.0873015873015873,0.8675078864353313,1.8097989140745734,0.8722397476340694,1.8975978403667948,0.10904492903207003,0.1486644151411974,0.34095256580543426,51.09852025578773
dpmlm_shap,"{'epsilon': 100, 'k': 7}",,0.5111712096799004,0.5708883886073196,0.17934351039409835,0.3858267716535433,0.3937007874015748,0.0873015873015873,0.8682965299684543,1.904862511638728,0.8588328075709779,1.9007098268753755,0.11463862460118363,0.15553052624693428,0.37577445969243156,55.626918785788874
dpmlm_shap,"{'epsilon': 100, 'k': 10}",,0.48156216502732574,0.49906611639134685,0.1633392430589583,0.36220472440944884,0.31496062992125984,0.0873015873015873,0.8651419558359621,1.7497463749669748,0.8430599369085173,1.8960573749632519,0.1200127094890041,0.16219480284004933,0.4081736684826514,59.84026025236593
dpmlm_shap,"{'epsilon': 250, 'k': 2}",,0.6716503872922668,0.725950563679765,0.384528207609579,0.5590551181102362,0.5984251968503937,0.10317460317460317,0.9345425867507886,1.7885878173214451,0.9100946372239748,1.9245235325720673,0.0919399942603397,0.12323084741548784,0.22640127857675132,26.72140562057484
dpmlm_shap,"{'epsilon': 250, 'k': 3}",,0.5951828180653757,0.6698763229598551,0.2963542867457926,0.47244094488188976,0.5039370078740157,0.1111111111111111,0.88801261829653,1.8319329214004285,0.8919558359621451,1.9126431538670687,0.10062081496046169,0.13371971531621288,0.2853625352214728,31.920050221002917
dpmlm_shap,"{'epsilon': 250, 'k': 5}",,0.5531636553558389,0.635361887264317,0.23986287251628316,0.4251968503937008,0.4645669291338583,0.1111111111111111,0.8730283911671924,1.7433596952860095,0.8777602523659306,1.9415367453580779,0.11002879324207547,0.14425771500127924,0.3467433705540411,37.33203033014783
dpmlm_shap,"{'epsilon': 250, 'k': 7}",,0.5173085213702663,0.5797188426448945,0.2125273074219189,0.3779527559055118,0.3937007874015748,0.1111111111111111,0.8753943217665615,1.7776280132742426,0.8698738170347003,1.9479328285671615,0.11499584675399287,0.15014837256835462,0.37964083977559604,40.2326172658521
dpmlm_shap,"{'epsilon': 250, 'k': 10}",,0.4948112556958435,0.5212816160482192,0.19912801715787837,0.36220472440944884,0.33858267716535434,0.11904761904761904,0.8738170347003155,1.8006688323348075,0.8659305993690851,1.9426283303190146,0.12009326168791352,0.1562335781447519,0.41085139395076586,42.98446802637419
dpmlm_shap,"{'epsilon': 10, 'k': 2}",test,0.4143799574554555,0.6254168249774334,,0.0,0.5118110236220472,,,,0.9133858267716535,2.2715492910999084,,,0.12212837811212254,
dpmlm_shap,"{'epsilon': 10, 'k': 3}",test,0.2888643969005247,0.5018695112997922,,0.007874015748031496,0.36220472440944884,,,,0.889763779527559,2.2083905405899285,,,0.19103763146964947,
dpmlm_shap,"{'epsilon': 10, 'k': 5}",test,0.1836864383761093,0.4467469836340564,,0.007874015748031496,0.33070866141732286,,,,0.8740157480314961,2.140683859796724,,,0.2346495996690305,
dpmlm_shap,"{'epsilon': 10, 'k': 7}",test,0.13746673506979193,0.37529499691017265,,0.007874015748031496,0.25984251968503935,,,,0.8661417322834645,2.108870293948682,,,0.2808048160356541,
dpmlm_shap,"{'epsilon': 10, 'k': 10}",test,0.10110336231726137,0.3128418088008928,,0.007874015748031496,0.1968503937007874,,,,0.84251968503937,2.125781603251295,,,0.3294853170242117,
dpmlm_shap,"{'epsilon': 25, 'k': 2}",test,0.43869031828156446,0.6377203067291914,,0.031496062992125984,0.5275590551181102,,,,0.9133858267716535,2.2263966458050373,,,0.1298419544855812,
dpmlm_shap,"{'epsilon': 25, 'k': 3}",test,0.29159817848324954,0.5620724772907428,,0.015748031496062992,0.4566929133858268,,,,0.8818897637795275,2.2627410610864604,,,0.18996581305198054,
dpmlm_shap,"{'epsilon': 25, 'k': 5}",test,0.19291203116147884,0.4127425026895232,,0.015748031496062992,0.29133858267716534,,,,0.8661417322834645,2.07187241728973,,,0.2772523242192095,
dpmlm_shap,"{'epsilon': 25, 'k': 7}",test,0.1491117147337278,0.39380024848077777,,0.015748031496062992,0.28346456692913385,,,,0.8503937007874017,2.118856287895648,,,0.32336418810200895,
dpmlm_shap,"{'epsilon': 25, 'k': 10}",test,0.12289346666508612,0.3131041289566013,,0.015748031496062992,0.1968503937007874,,,,0.8267716535433071,2.1292952216306427,,,0.3721434607792478,
dpmlm_shap,"{'epsilon': 50, 'k': 2}",test,0.43938204117331897,0.617558127274569,,0.06299212598425197,0.5196850393700787,,,,0.889763779527559,2.389665839137968,,,0.16852172091086323,
dpmlm_shap,"{'epsilon': 50, 'k': 3}",test,0.3239402214007905,0.525448119674683,,0.07086614173228346,0.41732283464566927,,,,0.8818897637795275,2.3879418645239676,,,0.23579153036689357,
dpmlm_shap,"{'epsilon': 50, 'k': 5}",test,0.23588585772113702,0.4780888503881199,,0.07086614173228346,0.3543307086614173,,,,0.84251968503937,2.2485619870832427,,,0.29872916082904843,
